GISJOIN,POPULATION
G0100010,55221
G0100030,195121
G0100050,26932
G0100070,22604
G0100090,57710
G0100110,10678
G0100130,20354
G0100150,116648
G0100170,34079
G0100190,26008
G0100210,43819
G0100230,13395
G0100250,25070
G0100270,13537
G0100290,15002
G0100310,50884
G0100330,54444
G0100350,12865
G0100370,11027
G0100390,37886
G0100410,13938
G0100430,80965
G0100450,49866
G0100470,42154
G0100490,71068
G0100510,80763
G0100530,37935
G0100550,103766
G0100570,16896
G0100590,31634
G0100610,26815
G0100630,8697
G0100650,15256
G0100670,17252
G0100690,103534
G0100710,52860
G0100730,659026
G0100750,14133
G0100770,92737
G0100790,33586
G0100810,150982
G0100830,88805
G0100850,10742
G0100870,20018
G0100890,346438
G0100910,20306
G0100930,30387
G0100950,94318
G0100970,414251
G0100990,22217
G0101010,228138
G0101030,119786
G0101050,10038
G0101070,19856
G0101090,33155
G0101110,22648
G0101130,58302
G0101150,85864
G0101170,203530
G0101190,13341
G0101210,81437
G0101230,41153
G0101250,200458
G0101270,65923
G0101290,16997
G0101310,11235
G0101330,24130
G0200130,3304
G0200160,5684
G0200200,299107
G0200500,17776
G0200600,970
G0200680,2060
G0200700,4979
G0200900,99705
G0201000,2560
G0201050,2128
G0201100,32531
G0201220,57221
G0201300,13699
G0201500,13973
G0201580,7914
G0201640,1474
G0201700,96178
G0201800,9854
G0201850,9667
G0201880,7732
G0201950,3221
G0201980,6376
G0202200,8943
G0202300,999
G0202400,7029
G0202610,9617
G0202750,2387
G0202820,643
G0202900,5644
G0400010,72124
G0400030,129647
G0400050,136701
G0400070,53165
G0400090,37407
G0400110,9023
G0400120,20335
G0400130,4018143
G0400150,203362
G0400170,107656
G0400190,998537
G0400210,389772
G0400230,47073
G0400250,215996
G0400270,202987
G0500010,18731
G0500030,21229
G0500050,41040
G0500070,238198
G0500090,37227
G0500110,11206
G0500130,5245
G0500150,27635
G0500170,11353
G0500190,22751
G0500210,15400
G0500230,25711
G0500250,8510
G0500270,24327
G0500290,21110
G0500310,101409
G0500330,61748
G0500350,49765
G0500370,17467
G0500390,7868
G0500410,12379
G0500430,18740
G0500450,119343
G0500470,17866
G0500490,12224
G0500510,96954
G0500530,18054
G0500550,43382
G0500570,22336
G0500590,33316
G0500610,13555
G0500630,36952
G0500650,13480
G0500670,17597
G0500690,73548
G0500710,25930
G0500730,7270
G0500750,17029
G0500770,9966
G0500790,14062
G0500810,12720
G0500830,22001
G0500850,70691
G0500870,15702
G0500890,16458
G0500910,43652
G0500930,44864
G0500950,7713
G0500970,9197
G0500990,8793
G0501010,8052
G0501030,25044
G0501050,10300
G0501070,20391
G0501090,11087
G0501110,24210
G0501130,20364
G0501150,62830
G0501170,8402
G0501190,390463
G0501210,17695
G0501230,27345
G0501250,113833
G0501270,10870
G0501290,7965
G0501310,127273
G0501330,17268
G0501350,17055
G0501370,12512
G0501390,40633
G0501410,17002
G0501430,216432
G0501450,78660
G0501470,6983
G0501490,21835
G0600010,1584983
G0600030,1131
G0600050,36995
G0600070,222564
G0600090,44767
G0600110,21396
G0600130,1096068
G0600150,27788
G0600170,182093
G0600190,956749
G0600210,28029
G0600230,135034
G0600250,178206
G0600270,18373
G0600290,865736
G0600310,150998
G0600330,64158
G0600350,32645
G0600370,10038388
G0600390,153187
G0600410,258349
G0600430,17789
G0600450,87544
G0600470,263885
G0600490,9184
G0600510,14146
G0600530,428441
G0600550,140295
G0600570,98570
G0600590,3116069
